family_stem,variable_name,label,n_years,years_range,label_drift
a95_a90,a95_a90,"a95_a90. Past 30 days on school property, did you vape?",2,2022-2023..2023-2024,True
a95_a91,a95_a91,"a95_a91. Past 30 days, used any other drug, pill, or medicine to get 'high' or f",1,2021-2022..2021-2022,False
a96,a96,"a96. Past 30 days, used two or more substances at the same time?",3,2017-2018..2021-2022,True
a96_a80,a96_a80,a96_a80. how would your friends feel about you smoking one or more packs of ciga,3,2010-2011..2012-2013,False
a96_a85,a96_a85,"a96_a85. Past 12 months, been threatened or injured with a weapon?",2,2013-2014..2014-2015,True
a96_a87,a96_a87,a96_a87. Vape products - How difficult is it for students in your grade to get a,3,2015-2016..2019-2020,True
a96_a89,a96_a89,"a96_a89. Past 30 days, used one or more drinks of alcohol?",1,2020-2021..2020-2021,False
a96_a91,a96_a91,"a96_a91. Past 30 days on school property, did you have at least one drink of alc",2,2022-2023..2023-2024,True
a97,a97,a97. Marijuana - How many times have you tried to quit or stop using,5,2010-2011..2018-2019,True
a97,a97c,"a97c. aod experience - recently spent a lot of time getting, using, or being 'h",3,2010-2011..2012-2013,False
a97_a86,a97_a86,"a97_a86. Past 12 months, seen someone carrying a gun, knife, or other weapon",2,2013-2014..2014-2015,True
a97_a88,a97_a88,a97_a88. Alcohol - How difficult is it for students in your grade to get any of,3,2015-2016..2019-2020,True
a97_a90,a97_a90,"a97_a90. Past 30 days, used five or more drinks of alcohol in a row, that is, wi",1,2020-2021..2020-2021,False
a97_a92,a97_a92,"a97_a92. Past 30 days on school property, did you use marijuana (smoke, vape, ea",3,2021-2022..2023-2024,True
a97a,a97a,"a97a. does not apply, i do not use alcohol or drugs?",3,2010-2011..2012-2013,False
a97b,a97b,a97b. aod experience - found you had to increase how much you use to have the s,3,2010-2011..2012-2013,False
a97d,a97d,a97d. aod experience - used alcohol or drugs a lot more than you intended?,3,2010-2011..2012-2013,False
a97e,a97e,a97e. aod experience - used alcohol or drugs when you were alone?,3,2010-2011..2012-2013,False
a97f,a97f,a97f. aod experience - your use of alcohol or drugs often kept you from going t,3,2010-2011..2012-2013,False
a97g,a97g,a97g. aod experience _ didn't like the way you when you were not high or drunk,3,2010-2011..2012-2013,False
a97h,a97h,a97h. aod experience - thought about reducing or stopping use?,3,2010-2011..2012-2013,False
a97i,a97i,a97i. aod experience - told yourself you were not going to use but found yourse,3,2010-2011..2012-2013,False
a97j,a97j,a97j. aod experience - spoke with someone about reducing or stopping use?,3,2010-2011..2012-2013,False
a97k,a97k,"a97k. aod experience - attended counseling, a program or group to help you redu",3,2010-2011..2012-2013,False
a97l,a97l,a97l. i've used alcohol or other drugs but never experienced any of these thing,3,2010-2011..2012-2013,False
a98,a98,"a98. Lifetime, driven a car when you had been using alcohol or drugs, or been in",2,2017-2018..2018-2019,False
a98_a61,a98_a61,"a98_a61. past 12 months, talked with parent about dangers of tobacco, alcohol, o",3,2010-2011..2012-2013,False
a98_a87,a98_a87,"a98_a87. Past 12 months, been threatened with harm or injury?",2,2013-2014..2014-2015,True
a98_a89,a98_a89,a98_a89. Marijuana - How difficult is it for students in your grade to get any o,3,2015-2016..2019-2020,True
a98_a91,a98_a91,"a98_a91. Past 30 days, used marijuana (smoke, vape, eat, or drink)?",1,2020-2021..2020-2021,False
a98_a93,a98_a93,"a98_a93. Past 30 days on school property, did you use any other drug, pill, or m",3,2021-2022..2023-2024,True
a99,a99,a99. How many times have you tried to quit or stop using cigarettes?,1,2019-2020..2019-2020,False
a99_a62,a99_a62,"a99_a62. past 12 months, heard or read or watched messages about alcohol or toba",3,2010-2011..2012-2013,False
a99_a88,a99_a88,a99_a88. How safe do you feel when you are at school?,4,2013-2014..2018-2019,True
a99_a90,a99_a90,"a99_a90. Past 12 months at school, carried a gun?",2,2015-2016..2016-2017,True
a99_a92,a99_a92,"a99_a92. Past 30 days, used inhalants?",1,2020-2021..2020-2021,False
a99_a94,a99_a94,"a99_a94. Past 30 days on school property, did you breathe the smoke or vapor fro",3,2021-2022..2023-2024,True
a9_old,a9_old,a9_old. What best describes where you live?,1,2013-2014..2013-2014,False
a9a,a9a,(unlabeled),1,2010-2011..2010-2011,False
a9b,a9b,(unlabeled),1,2010-2011..2010-2011,False
a9d,a9d,(unlabeled),1,2010-2011..2010-2011,False
a9e,a9e,(unlabeled),1,2010-2011..2010-2011,False
a9f,a9f,(unlabeled),1,2010-2011..2010-2011,False
a9g,a9g,(unlabeled),1,2010-2011..2010-2011,False
a9h,a9h,(unlabeled),1,2010-2011..2010-2011,False
a9i,a9i,(unlabeled),1,2010-2011..2010-2011,False
a9j,a9j,(unlabeled),1,2010-2011..2010-2011,False
a9k,a9k,(unlabeled),1,2010-2011..2010-2011,False
a9l,a9l,(unlabeled),1,2010-2011..2010-2011,False
a9m,a9m,(unlabeled),1,2010-2011..2010-2011,False
acadmotiv,acadmotiv,Academic motivation,7,2013-2014..2019-2020,False
acadmotiv,acadmotiv_agree,Academic motivation - % 'Agree' or 'Strongly agree',6,2018-2019..2023-2024,False
acadmotiv,acadmotiv_hi,High academic motivation,4,2013-2014..2016-2017,False
acadmotiv,acadmotivc,Academic motivation category,7,2013-2014..2019-2020,False
acadmotiv_sagree,acadmotiv_sagree,Academic motivation - % reporting 'Strongly agree',1,2017-2018..2017-2018,False
alky30,alky30,(unlabeled),1,2010-2011..2010-2011,False
aodused,aodused,(unlabeled),1,2010-2011..2010-2011,False
aware,aware,Self awareness,6,2014-2015..2019-2020,False
aware,aware_hi,High self awareness,3,2014-2015..2016-2017,False
aware,aware_true,Self awareness - % 'Pretty much true' or 'Very much true',6,2018-2019..2023-2024,False
aware,aware_vmtrue,Self awareness - % reporting 'Very much true',1,2017-2018..2017-2018,False
aware,awarec,Self awareness category,6,2014-2015..2019-2020,False
beliefothers,beliefothers,Belief in others (SEHM),2,2016-2017..2019-2020,False
beliefothers,beliefothers_hi,High belief in others (SEHM),1,2016-2017..2016-2017,False
beliefothers,beliefothers_true,Belief in others - % 'Pretty much true' or 'Very much true' (SEHM),5,2019-2020..2023-2024,False
beliefothers,beliefothersc,Belief in others category (SEHM),2,2016-2017..2019-2020,False
beliefself,beliefself,Belief in self (SEHM),2,2016-2017..2019-2020,False
beliefself,beliefself_hi,High belief in self (SEHM),1,2016-2017..2016-2017,False
beliefself,beliefself_true,Belief in self - % 'Pretty much true' or 'Very much true' (SEHM),5,2019-2020..2023-2024,False
beliefself,beliefselfc,Belief in self category (SEHM),2,2016-2017..2019-2020,False
bh1,bh1,"bh1. Talks with me about my problems. - In my home, there is a parent or some ot",2,2022-2023..2023-2024,True
bh10,bh10,"bh10. At my school, I feel socially accepted.",2,2022-2023..2023-2024,True
bh11,bh11,"bh11. At my school, I feel that I matter to others.",2,2022-2023..2023-2024,True
bh12,bh12,bh12. How safe do you feel at home or the place where you live?,2,2022-2023..2023-2024,True
bh13,bh13,bh13. How safe do you feel in the neighborhood where you live?,2,2022-2023..2023-2024,True
bh14,bh14,"bh14. Past 30 days, I got upset easily or got into arguments or physical fights.",2,2022-2023..2023-2024,True
bh15,bh15,"bh15. Past 30 days, I had trouble concentrating or paying attention.",2,2022-2023..2023-2024,True
bh16,bh16,"bh16. Past 30 days, I had trouble feeling happiness or love.",2,2022-2023..2023-2024,True
bh17,bh17,"bh17. Past 30 days, I felt alone even when I was around other people.",2,2022-2023..2023-2024,True
bh18,bh18,"bh18. Past 30 days, I had trouble going to sleep, woke up often, or had trouble",2,2022-2023..2023-2024,True
bh19,bh19,bh19. How often do you feel lonely?,2,2022-2023..2023-2024,True
bh2,bh2,"bh2. Helps me when I am upset. - In my home, there is a parent or some other adu",2,2022-2023..2023-2024,True
bh20,bh20,bh20. How often do you feel that you are no longer close to anyone?,2,2022-2023..2023-2024,True
bh20,bh20c,bh20c. Go without eating for 12 hours or more - Lose/maintain weight only - Duri,1,2022-2023..2022-2023,False
bh20a,bh20a,"bh20a. Exercise - Lose/maintain weight only - During the past 30 days, please in",1,2022-2023..2022-2023,False
bh20b,bh20b,"bh20b. Eat less food, fewer calories, or foods low in fat - Lose/maintain weight",1,2022-2023..2022-2023,False
bh20d,bh20d,"bh20d. Take appetite suppressants, powders, or liquids without a doctor's advice",1,2022-2023..2022-2023,False
bh20e,bh20e,bh20e. Vomit or take laxatives - Lose/maintain weight only - During the past 30,1,2022-2023..2022-2023,False
bh21,bh21,"bh21. When everybody around you gets angry, how relaxed can you stay?",2,2022-2023..2023-2024,True
bh22,bh22,bh22. How often are you able to control your emotions when you need to?,2,2022-2023..2023-2024,True
bh23,bh23,"bh23. When things go wrong for you, how calm are you able to remain?",2,2022-2023..2023-2024,True
bh24,bh24,"bh24. Past 30 days, how satisfied have you been with your weight and shape?",2,2022-2023..2023-2024,True
bh25,bh25,bh25. Which of the following are you trying to do about your weight?,2,2022-2023..2023-2024,True
bh25,bh25c,bh25c. Go without eating for 12 hours or more - Lose/maintain weight only - Past,1,2023-2024..2023-2024,False
bh25a,bh25a,"bh25a. Exercise - Lose/maintain weight only - Past 30 days, indicate which you o",1,2023-2024..2023-2024,False
bh25b,bh25b,"bh25b. Eat less food, fewer calories, or food lower in fat - Lose/maintain weigh",1,2023-2024..2023-2024,False
bh25d,bh25d,"bh25d. Take diet pills, powder, or liquids without a doctor's advice - Lose/main",1,2023-2024..2023-2024,False
bh25e,bh25e,"bh25e. Vomit or take laxatives - Lose/maintain weight only - Past 30 days, indic",1,2023-2024..2023-2024,False
bh26,bh26,"bh26. During the past 12 months, how many times did you do something to purposel",2,2022-2023..2023-2024,True
bh27,bh27,"bh27. Stomachaches - In the last 2 weeks, how much were you bothered by the foll",2,2022-2023..2023-2024,True
bh28,bh28,"bh28. Headaches - In the last 2 weeks, how much were you bothered by the followi",2,2022-2023..2023-2024,True
bh29,bh29,"bh29. Pains in your lower back - In the last 2 weeks, how much were you bothered",2,2022-2023..2023-2024,True
bh3,bh3,"bh3. Makes me feel good about myself. - In my home, there is a parent or some ot",2,2022-2023..2023-2024,True
bh30,bh30,"bh30. Feeling faint or dizzy - In the last 2 weeks, how much were you bothered b",2,2022-2023..2023-2024,True
bh30,bh30c,"bh30c. Get help from a counselor or therapist - If you were feeling very sad, st",1,2022-2023..2022-2023,False
bh30a,bh30a,bh30a. Talk to a teacher or another adult from your school - If you were feeling,1,2022-2023..2022-2023,False
bh30b,bh30b,bh30b. Talk to your parents or someone else in your family - If you were feeling,1,2022-2023..2022-2023,False
bh30d,bh30d,"bh30d. Talk to your friends - If you were feeling very sad, stressed, lonely or",1,2022-2023..2022-2023,False
bh30e,bh30e,"bh30e. Be afraid to get help - If you were feeling very sad, stressed, lonely or",1,2022-2023..2022-2023,False
bh30f,bh30f,"bh30f. Not know what to do - If you were feeling very sad, stressed, lonely or d",1,2022-2023..2022-2023,False
bh31,bh31,bh31. Heart beating too fast (even when you are not exercising) - In the last 2,2,2022-2023..2023-2024,True
bh32,bh32,"bh32. I know where to go or who to contact at school when I am very sad, stresse",2,2022-2023..2023-2024,True
bh33,bh33,bh33. People at my school talk openly about mental health.,2,2022-2023..2023-2024,True
bh33,bh33c,"bh33c. From a counselor or therapist not from my school (in person, by phone or",1,2022-2023..2022-2023,False
bh33a,bh33a,"bh33a. Nowhere - In the past year, where did you get help from a counselor or th",1,2022-2023..2022-2023,False
bh33b,bh33b,"bh33b. At school (in person, by phone or online) - In the past year, where did y",1,2022-2023..2022-2023,False
bh33d,bh33d,"bh33d. Somewhere else - In the past year, where did you get help from a counselo",1,2022-2023..2022-2023,False
bh33e,bh33e,"bh33e. I don't know - In the past year, where did you get help from a counselor",1,2022-2023..2022-2023,False
bh34,bh34,bh34. My school encourages students to take care of their mental health.,2,2022-2023..2023-2024,True
bh35,bh35,bh35. Talking to an adult could help them feel better. - If someone my age felt,2,2022-2023..2023-2024,True
bh35,bh35c,"bh35c. They wouldn't understand  - If you were very sad, stressed, lonely or dep",1,2022-2023..2022-2023,False
bh35a,bh35a,"bh35a. You wouldn't know where to go for help - If you were very sad, stressed,",1,2022-2023..2022-2023,False
bh35b,bh35b,"bh35b. There isn't anyone you can talk to - If you were very sad, stressed, lone",1,2022-2023..2022-2023,False
bh35d,bh35d,bh35d. People would think there's something wrong with you - If you were very sa,1,2022-2023..2022-2023,False
bh35e,bh35e,"bh35e. Your parents might find out  - If you were very sad, stressed, lonely or",1,2022-2023..2022-2023,False
bh35f,bh35f,"bh35f. Other students might find out - If you were very sad, stressed, lonely or",1,2022-2023..2022-2023,False
bh35g,bh35g,"bh35g. You wouldn't have a way to pay for it - If you were very sad, stressed, l",1,2022-2023..2022-2023,False
bh35h,bh35h,bh35h. You wouldn't want to talk to a counselor or therapist - If you were very,1,2022-2023..2022-2023,False
bh35i,bh35i,"bh35i. Other reasons - If you were very sad, stressed, lonely or depressed, woul",1,2022-2023..2022-2023,False
bh35j,bh35j,"bh35j. Does not apply, none of these things would stop me from talking to a coun",1,2022-2023..2022-2023,False
bh36,bh36,bh36. Kids at my school would be nice to them. - If someone my age felt very sad,1,2023-2024..2023-2024,False
bh37,bh37,"bh37. If you were feeling very sad, stressed, lonely, or depressed, would you...",1,2023-2024..2023-2024,False
bh37,bh37c,"bh37c. Get help from a counselor or therapist - If you were feeling very sad, st",1,2023-2024..2023-2024,False
bh37a,bh37a,bh37a. Talk to a teacher or another adult from your school - If you were feeling,1,2023-2024..2023-2024,False
bh37b,bh37b,bh37b. Talk to your parents or someone else in your family - If you were feeling,1,2023-2024..2023-2024,False
bh37d,bh37d,"bh37d. Talk to your friends - If you were feeling very sad, stressed, lonely, or",1,2023-2024..2023-2024,False
bh37e,bh37e,"bh37e. Be afraid to get help - If you were feeling very sad, stressed, lonely, o",1,2023-2024..2023-2024,False
bh37f,bh37f,"bh37f. Not know what to do - If you were feeling very sad, stressed, lonely, or",1,2023-2024..2023-2024,False
bh38,bh38,"bh38. In the past year, did you want to talk to a counselor or therapist about f",1,2023-2024..2023-2024,False
bh39,bh39,"bh39. In the past year, did you get help from a counselor or therapist when you",1,2023-2024..2023-2024,False
bh4,bh4,bh4. Talks with me about my problems. - I have a friend my age who...,2,2022-2023..2023-2024,True
bh40,bh40,"bh40. In the past year, where did you get help from a counselor or therapist? (M",1,2023-2024..2023-2024,False
bh40,bh40c,bh40c. From a counselor or therapist not from my school - Got help when needed i,1,2023-2024..2023-2024,False
bh40a,bh40a,"bh40a. Nowhere - Got help when needed it only - In the past year, where did you",1,2023-2024..2023-2024,False
bh40b,bh40b,"bh40b. At school - Got help when needed it only - In the past year, where did yo",1,2023-2024..2023-2024,False
bh40d,bh40d,"bh40d. Somewhere else - Got help when needed it only - In the past year, where d",1,2023-2024..2023-2024,False
bh40e,bh40e,"bh40e. I don't know - Got help when needed it only - In the past year, where did",1,2023-2024..2023-2024,False
bh41,bh41,"bh41. In the past year, did an adult at school refer or connect you to a counsel",1,2023-2024..2023-2024,False
bh42,bh42,"bh42. If you were very sad, stressed, lonely, or depressed, would any of these t",1,2023-2024..2023-2024,False
bh42,bh42c,"bh42c. They wouldn't understand - If you were very sad, stressed, lonely, or dep",1,2023-2024..2023-2024,False
bh42a,bh42a,"bh42a. I would not know where to go for help - If you were very sad, stressed, l",1,2023-2024..2023-2024,False
bh42b,bh42b,"bh42b. There isn't anyone I could talk to - If you were very sad, stressed, lone",1,2023-2024..2023-2024,False
bh42d,bh42d,bh42d. People would think there is something wrong with me - If you were very sa,1,2023-2024..2023-2024,False
bh42e,bh42e,"bh42e. My parents might find out - If you were very sad, stressed, lonely, or de",1,2023-2024..2023-2024,False
bh42f,bh42f,"bh42f. Other students might find out - If you were very sad, stressed, lonely, o",1,2023-2024..2023-2024,False
bh42g,bh42g,"bh42g. I wouldn't have a way to pay for it - If you were very sad, stressed, lon",1,2023-2024..2023-2024,False
bh42h,bh42h,bh42h. I wouldn't want to talk to a counselor or therapist - If you were very sa,1,2023-2024..2023-2024,False
bh42i,bh42i,"bh42i. Other reasons - If you were very sad, stressed, lonely, or depressed, wou",1,2023-2024..2023-2024,False
bh42j,bh42j,"bh42j. Does not apply, none of these things would stop me from talking to a coun",1,2023-2024..2023-2024,False
bh5,bh5,bh5. Helps me when I am upset. - I have a friend my age who...,2,2022-2023..2023-2024,True
bh6,bh6,bh6. Makes me feel good about myself. - I have a friend my age who...,2,2022-2023..2023-2024,True
bh7,bh7,"bh7. Would understand my problems if I shared them. - At my school, there is a t",2,2022-2023..2023-2024,True
bh8,bh8,"bh8. Would be helpful to me if I came to school upset. - At my school, there is",2,2022-2023..2023-2024,True
bh9,bh9,"bh9. Makes me feel good about myself. - At my school, there is a teacher or othe",2,2022-2023..2023-2024,True
bhc1,bhc1,"bhc1. Where do you usually go for help when you are sick, need medical care, or",11,2013-2014..2023-2024,True
bhc10,bhc10,"bhc10. Past 7 days, how many days did you exercise or do physical activity for a",11,2013-2014..2023-2024,True
bhc11,bhc11,bhc11. This school has clean and drinkable water.,11,2013-2014..2023-2024,True
bhc11,bhc11c,"bhc11c. Lunch served at school - Last day attended school, did you eat or drink.",1,2017-2018..2017-2018,False
bhc11a,bhc11a,"bhc11a. One or more glasses of water - Last day attended school, did you eat or",1,2017-2018..2017-2018,False
bhc11b,bhc11b,"bhc11b. Breakfast served at school - Last day attended school, did you eat or dr",1,2017-2018..2017-2018,False
bhc11d,bhc11d,"bhc11d. A glass or can of sweetened soda, a sports drink, an energy drink, or an",1,2017-2018..2017-2018,False
bhc11e,bhc11e,"bhc11e. None of the above - Last day attended school, did you eat or drink...",1,2017-2018..2017-2018,False
bhc12,bhc12,bhc12. This school encourages students to feel responsible for how they act.,11,2013-2014..2023-2024,True
bhc12,bhc12c,bhc12c. I like the fresh fruits and vegetables served at school. - Which of the,1,2017-2018..2017-2018,False
bhc12a,bhc12a,bhc12a. I like the food served there. - Which of the following statements about,1,2017-2018..2017-2018,False
bhc12b,bhc12b,bhc12b. They serve the right amount of food. - Which of the following statements,1,2017-2018..2017-2018,False
bhc12d,bhc12d,bhc12d. It is embarrassing to eat cafeteria food. - Which of the following state,1,2017-2018..2017-2018,False
bhc12e,bhc12e,bhc12e. They post information about the nutritional content of foods in the cafe,1,2017-2018..2017-2018,False
bhc12f,bhc12f,bhc12f. I don't feel safe there. - Which of the following statements about your,1,2017-2018..2017-2018,False
bhc12g,bhc12g,bhc12g. It is clean. - Which of the following statements about your school cafet,1,2017-2018..2017-2018,False
bhc13,bhc13,bhc13. This school encourages students to understand how others think and feel.,11,2013-2014..2023-2024,True
bhc14,bhc14,bhc14. Students are taught that they can control their own behavior.,11,2013-2014..2023-2024,True
bhc15,bhc15,bhc15. This school helps students resolve conflicts with one another.,11,2013-2014..2023-2024,True
bhc16,bhc16,bhc16. This school encourages students to care about how others feel.,11,2013-2014..2023-2024,True
bhc16,bhc16c,bhc16c. Empty or abandoned buildings - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16a,bhc16a,bhc16a. Bullying - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16b,bhc16b,bhc16b. Crime - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16d,bhc16d,bhc16d. Fights - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16e,bhc16e,bhc16e. Gangs - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16f,bhc16f,bhc16f. Graffiti - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16g,bhc16g,bhc16g. Liquor stores and/or bars - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16h,bhc16h,bhc16h. People selling drugs - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16i,bhc16i,bhc16i. Police treating people unfairly - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16j,bhc16j,bhc16j. Unemployment - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc16k,bhc16k,bhc16k. Lack of access to parks and recreation - Major problems in your neighbor,1,2017-2018..2017-2018,False
bhc16l,bhc16l,bhc16l. Lack of affordable places to live - Major problems in your neighborhood.,1,2017-2018..2017-2018,False
bhc16m,bhc16m,bhc16m. Poor living conditions - Major problems in your neighborhood...,1,2017-2018..2017-2018,False
bhc17,bhc17,bhc17. The rules in this school are too strict.,11,2013-2014..2023-2024,True
bhc18,bhc18,bhc18. It is easy for students to get kicked out of class or get suspended.,11,2013-2014..2023-2024,True
bhc19,bhc19,bhc19. It is easy for students to get kicked out of class (in-person or remote),11,2013-2014..2023-2024,True
bhc2,bhc2,"bhc2. At school, where do you usually go for help when you are sick, need medica",11,2013-2014..2023-2024,True
bhc20,bhc20,bhc20. Students get in trouble for breaking small rules.,11,2013-2014..2023-2024,True
bhc21,bhc21,bhc21. How safe do you feel in the neighborhood where you live?,11,2013-2014..2023-2024,True
bhc22,bhc22,bhc22. How safe do you feel in your neighborhood parks and playgrounds?,11,2013-2014..2023-2024,True
bhc23,bhc23,"bhc23. Past 12 months, how many times in your neighborhood have you seen someone",11,2013-2014..2023-2024,True
bhc23,bhc23c,"bhc23c. French fries, potato chips or other fried potatoes. Last day attended sc",4,2013-2014..2016-2017,True
bhc23a,bhc23a,"bhc23a. A glass or can or sweetened soda. Last day attended school, did you...",4,2013-2014..2016-2017,True
bhc23b,bhc23b,"bhc23b. A glass or can of 100 percent fruit juice. Last day attended school, did",4,2013-2014..2016-2017,True
bhc23d,bhc23d,"bhc23d. Raw or whole fruit (do not count juice). Last day attended school, did y",4,2013-2014..2016-2017,True
bhc23e,bhc23e,"bhc23e. Vegetables. Last day attended school, did you...",4,2013-2014..2016-2017,True
bhc23f,bhc23f,"bhc23f. One or more glasses of water. Last day attended school, did you...",4,2013-2014..2016-2017,True
bhc23g,bhc23g,"bhc23g. Breakfast served at school. Last day attended school, did you...",4,2013-2014..2016-2017,True
bhc23h,bhc23h,"bhc23h. Lunch served at school. Last day attended school, did you...",4,2013-2014..2016-2017,True
bhc23i,bhc23i,"bhc23i. None of the above. Last day attended school, did you...",4,2013-2014..2016-2017,True
bhc24,bhc24,bhc24. Which of the following are major problems in your neighborhood? (Mark all,11,2013-2014..2023-2024,True
bhc24,bhc24c,bhc24c. Empty or abandoned buildings - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24a,bhc24a,bhc24a. Bullying - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24b,bhc24b,bhc24b. Crime - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24d,bhc24d,bhc24d. Fights - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24e,bhc24e,bhc24e. Gangs - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24f,bhc24f,bhc24f. Graffiti - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24g,bhc24g,bhc24g. Availability of alcohol for youth - Major problems in your neighborhood.,2,2019-2020..2023-2024,False
bhc24h,bhc24h,bhc24h. People selling drugs - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24i,bhc24i,bhc24i. Police treating people unfairly - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24j,bhc24j,bhc24j. Lack of access to parks and recreation - Major problems in your neighbor,2,2019-2020..2023-2024,False
bhc24k,bhc24k,bhc24k. Lack of affordable places to live - Major problems in your neighborhood.,2,2019-2020..2023-2024,False
bhc24l,bhc24l,bhc24l. Poor living conditions - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc24m,bhc24m,bhc24m. None of the above - Major problems in your neighborhood...,2,2019-2020..2023-2024,False
bhc25,bhc25,"bhc25. Who really cares about me. - Outside of my home and school, there is an a",11,2013-2014..2023-2024,True
bhc25,bhc25c,bhc25c. Empty or abandoned buildings - Major problems in your neighborhood...,8,2013-2014..2022-2023,True
bhc25a,bhc25a,bhc25a. Bullying - Major problems in your neighborhood...,8,2013-2014..2022-2023,True
bhc25b,bhc25b,bhc25b. Crime - Major problems in your neighborhood...,8,2013-2014..2022-2023,True
bhc25d,bhc25d,bhc25d. Fights - Major problems in your neighborhood...,8,2013-2014..2022-2023,True
bhc25e,bhc25e,bhc25e. Gangs - Major problems in your neighborhood...,8,2013-2014..2022-2023,True
bhc25f,bhc25f,bhc25f. Graffiti - Major problems in your neighborhood...,8,2013-2014..2022-2023,True
bhc25g,bhc25g,bhc25g. Availability of alcohol for youth - Major problems in your neighborhood.,4,2018-2019..2022-2023,False
bhc25h,bhc25h,bhc25h. People selling drugs - Major problems in your neighborhood...,4,2018-2019..2022-2023,False
bhc25i,bhc25i,bhc25i. Police treating people unfairly - Major problems in your neighborhood...,4,2018-2019..2022-2023,False
bhc25j,bhc25j,bhc25j. Lack of access to parks and recreation - Major problems in your neighbor,4,2018-2019..2022-2023,False
bhc25k,bhc25k,bhc25k. Lack of affordable places to live - Major problems in your neighborhood.,4,2018-2019..2022-2023,False
bhc25l,bhc25l,bhc25l. Poor living conditions - Major problems in your neighborhood...,4,2018-2019..2022-2023,False
bhc25m,bhc25m,bhc25m. None of the above - Major problems in your neighborhood...,4,2018-2019..2022-2023,False
bhc26,bhc26,"bhc26. Who tells me when I do a good job. - Outside of my home and school, there",11,2013-2014..2023-2024,True
bhc27,bhc27,bhc27. Who notices when I am upset about something. - Outside of my home and sch,11,2013-2014..2023-2024,True
bhc28,bhc28,"bhc28. Who believes I will be a success. - Outside of my home and school, there",11,2013-2014..2023-2024,True
bhc29,bhc29,"bhc29. Who always wants me to do my best. - Outside of my home and school, there",11,2013-2014..2023-2024,True
bhc3,bhc3,bhc3. When did you last visit a dentist to get your teeth checked or cleaned?,11,2013-2014..2023-2024,True
bhc30,bhc30,"bhc30. Whom I trust. - Outside of my home and school, there is an adult...",11,2013-2014..2023-2024,True
bhc30,bhc30c,bhc30c. Empty or abandoned buildings. Which are major problems in your neighborh,3,2014-2015..2016-2017,False
bhc30a,bhc30a,bhc30a. Bullying. Which are major problems in your neighborhood?,3,2014-2015..2016-2017,False
bhc30b,bhc30b,bhc30b. Crime. Which are major problems in your neighborhood?,3,2014-2015..2016-2017,False
bhc30d,bhc30d,bhc30d. Fights. Which are major problems in your neighborhood?,3,2014-2015..2016-2017,False
bhc30e,bhc30e,bhc30e. Gangs. Which are major problems in your neighborhood?,3,2014-2015..2016-2017,False
bhc30f,bhc30f,bhc30f. Graffiti. Which are major problems in your neighborhood?,3,2014-2015..2016-2017,False
bhc30g,bhc30g,bhc30g. Liquor stores or bars. Which are major problems in your neighborhood?,3,2014-2015..2016-2017,False
bhc30h,bhc30h,bhc30h. People selling drugs. Which are major problems in your neighborhood?,3,2014-2015..2016-2017,False
bhc30i,bhc30i,bhc30i. Police treating people unfairly. Which are major problems in your neighb,3,2014-2015..2016-2017,False
bhc30j,bhc30j,bhc30j. Unemployment. Which are major problems in your neighborhood?,3,2014-2015..2016-2017,False
bhc31,bhc31,bhc31. I feel close to people in my community/neighborhood.,11,2013-2014..2023-2024,True
bhc31,bhc31c,bhc31c. BHC module # 31,1,2013-2014..2013-2014,False
bhc31a,bhc31a,bhc31a. BHC module # 31,1,2013-2014..2013-2014,False
bhc31b,bhc31b,bhc31b. BHC module # 31,1,2013-2014..2013-2014,False
bhc31d,bhc31d,bhc31d. BHC module # 31,1,2013-2014..2013-2014,False
bhc31e,bhc31e,bhc31e. BHC module # 31,1,2013-2014..2013-2014,False
bhc31f,bhc31f,bhc31f. BHC module # 31,1,2013-2014..2013-2014,False
bhc31g,bhc31g,bhc31g. BHC module # 31,1,2013-2014..2013-2014,False
bhc31h,bhc31h,bhc31h. BHC module # 31,1,2013-2014..2013-2014,False
bhc31i,bhc31i,bhc31i. BHC module # 31,1,2013-2014..2013-2014,False
bhc31j,bhc31j,bhc31j. BHC module # 31,1,2013-2014..2013-2014,False
bhc32,bhc32,bhc32. I am happy to live in my community/neighborhood.,11,2013-2014..2023-2024,True
